map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h
crohot,d433bbdd95,5,forest,0,1226.4,-63.4223,1.0,0.1188,0.9302,1.0,0.9645,0.0525,0.039,0.0,0.9645,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,1,548.3,-63.4223,1.0,0.1775,1.0,1.0,1.0,0.071,0.0,0.0,1.0,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,2,266.1,-63.4223,0.3771,0.0542,0.9953,1.0,0.3762,0.0218,0.0025,0.0,0.9977,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,3,163.4,-63.4223,0.0,0.0,0.6663,0.4127,0.0,0.0,0.1669,0.0,0.3369,0.098,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,4,611.8,-63.4223,0.4509,0.3282,0.0,1.0,0.0,0.3282,0.6641,0.0,0.0,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,5,1187.3,-63.4223,0.2867,0.0,0.3226,1.0,0.1629,0.0,0.3387,0.0,0.568,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,6,362.1,-63.4223,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,7,433.5,-63.4223,0.0,0.0,0.9999,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,8,593.0,-63.4223,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,9,434.9,-63.4223,0.0,0.1563,0.0,1.0,0.0,0.1563,0.5781,0.0,0.0,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,10,382.5,-63.4223,0.0672,0.1178,0.6608,1.0,0.0547,0.0711,0.1896,0.0,0.8129,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,11,303.6,-63.4223,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,12,446.9,-63.4223,0.0,0.0567,0.0,1.0,0.0,0.0567,0.5284,0.0,0.0,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,13,660.9,-63.4223,0.3875,0.0687,0.2274,1.0,0.1848,0.0594,0.4129,0.0,0.4768,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,14,320.3,-63.4223,0.221,0.2874,0.9613,1.0,0.2167,0.1216,0.0249,0.0,0.9805,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,15,655.9,-63.4223,0.1554,0.2218,0.0,1.0,0.0,0.2218,0.6109,0.0,0.0,0.0,0.8702,0.1376,0.4969,0.5676
crohot,d433bbdd95,5,forest,16,420.6,-63.4223,1.0,0.1399,0.9519,1.0,0.9757,0.06,0.0274,0.0,0.9757,0.0,0.8702,0.1376,0.4969,0.5676
